# This file was produced by samtools stats (1.22.1+htslib-1.22.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats /scratch/project_2019524/pinksalmon_alignments/lowinput/8038.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c4a3c374	c04f26c8	df5cc09c
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	240219302	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	240219302
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	120109651
SN	last fragments:	120109651
SN	reads mapped:	240136577
SN	reads mapped and paired:	240103128	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	82725
SN	reads properly paired:	236662882	# proper-pair bit set
SN	reads paired:	240219302	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	44387080	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	1936346
SN	total length:	36032895300	# ignores clipping
SN	total first fragment length:	18016447650	# ignores clipping
SN	total last fragment length:	18016447650	# ignores clipping
SN	bases mapped:	36020486550	# ignores clipping
SN	bases mapped (cigar):	35884436632	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	198639461	# from NM fields
SN	error rate:	5.535532e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	35.2
SN	insert size average:	225.2
SN	insert size standard deviation:	71.6
SN	inward oriented pairs:	115176100
SN	outward oriented pairs:	3637043
SN	pairs with other orientation:	49146
SN	pairs on different chromosomes:	1189275
SN	percentage of properly paired reads (%):	98.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	23	20	412	23873	52548	36911	48512	54248	50073	57263	63848	76884	72577	98492	107421	112591	146605	149569	188987	233931	227815	287735	410359	447164	570574	695295	934065	1181482	1578314	2278173	3087229	3784005	4543648	5448930	7277345	9219430	14803050	25975327	35784923	0	0	0
FFQ	2	72	48	180	23435	55373	40235	52418	58103	53541	62222	66950	83028	76941	104471	115847	117046	156415	154485	200043	246817	239069	298997	424295	459903	585727	706402	948895	1207007	1601413	2337065	3163414	3936591	4706642	5639239	7534750	9369654	14680778	25196989	35405151	0	0	0
FFQ	3	17	17	138	25107	61316	45657	57821	63394	58961	67675	74204	88343	83489	111787	120591	127727	163273	167201	208627	256110	251114	313570	439179	474520	597435	721532	957070	1196890	1578450	2284093	3048996	3799746	4537203	5487493	7335255	9223617	14617938	25394249	36069846	0	0	0
FFQ	4	12	14	84	28756	69764	51028	64943	71284	66434	75490	82339	98268	92623	124053	134906	139794	180716	182863	229119	279406	272602	340838	474613	512787	643143	771293	1017273	1268092	1656620	2379831	3144875	3895723	4628615	5586110	7421097	9277211	14595067	25023009	35228956	0	0	0
FFQ	5	25	33	197	31367	73548	51797	69091	75300	69216	79708	84692	103100	95388	128615	141210	144829	188915	189481	240301	292754	283746	354539	496764	534156	673220	807375	1064784	1326135	1734801	2491219	3296117	4075764	4826015	5793171	7660338	9500050	14776675	24907673	33447542	0	0	0
FFQ	6	342603	5	58	27160	65701	49025	62735	68860	64301	74923	80862	99510	92087	124697	136758	140947	184348	186314	236246	288765	282459	351651	493987	533729	673191	808904	1071197	1335376	1751733	2526279	3340058	4138807	4902822	5880990	7771017	9601136	14895680	24930246	32494484	0	0	0
FFQ	7	26	19	115	28528	69026	49953	65052	71853	66672	77603	83187	102154	95342	128306	142052	145296	189835	191954	241814	296276	288634	359950	503931	544621	685815	823259	1086045	1353009	1769931	2546560	3364622	4162868	4935060	5916336	7806229	9630747	14904058	24920367	32462546	0	0	0
FFQ	8	27	35	117	26663	65667	48672	62598	69234	64609	74978	81459	99577	93213	125293	138997	143313	187291	189966	240499	294605	287629	359029	506939	546371	693367	833999	1104987	1382572	1810485	2619390	3471695	4293828	5077262	6054922	7955952	9778975	15050145	24886322	31388969	0	0	0
FFQ	9	17	21	142	28880	69675	49827	65891	72708	67273	78086	83875	104109	96291	130386	143908	147713	193564	194949	247566	303602	295271	368690	518250	559199	706507	852081	1125642	1403365	1842582	2658698	3519645	4341231	5114984	6088584	7986671	9789678	15026018	24765814	31068257	0	1	0
FFQ	10	9	6	88	28306	68156	49205	64960	72567	66982	79445	84600	105467	97698	133137	147835	149692	198453	198953	254002	312402	303272	380096	536710	578395	733511	880202	1168441	1457446	1908655	2750793	3629353	4457698	5232635	6210762	8113290	9896607	15105504	24619568	30034750	0	0	0
FFQ	11	24	15	114	29432	69499	49561	66324	73663	67742	79508	85588	106354	98891	134556	148570	151656	200851	200604	257017	315423	306975	384493	541148	584881	742795	890716	1180013	1474818	1932701	2784283	3679886	4520587	5302340	6292936	8206524	9991489	15201254	24632785	29323635	0	0	0
FFQ	12	13	10	106	28261	65928	46241	63172	70467	64731	76450	81104	103540	95193	130715	144974	146814	196569	196771	252410	310261	301732	377992	535534	579564	734662	886035	1177456	1470107	1931039	2785167	3690285	4538430	5330189	6326193	8244474	10032580	15261141	24699640	29133701	0	0	0
FFQ	13	8	16	88	26271	62771	44686	60247	67566	62407	74149	79912	100278	93824	127464	141864	145254	192559	193283	248895	305776	298830	374319	530383	574794	733383	880691	1173377	1465501	1925877	2785154	3690898	4550875	5349351	6348106	8275902	10069081	15334313	24772771	28948727	0	0	0
