# This file was produced by samtools stats (1.22.1+htslib-1.22.1) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats /scratch/project_2019524/pinksalmon_alignments/lowinput/8034.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	ad3b17e1	ef89dc31	041394ea
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	240082476	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	240082476
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	120041238
SN	last fragments:	120041238
SN	reads mapped:	239990098
SN	reads mapped and paired:	239967646	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	92378
SN	reads properly paired:	233193504	# proper-pair bit set
SN	reads paired:	240082476	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	44378517	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	4458346
SN	total length:	36012371400	# ignores clipping
SN	total first fragment length:	18006185700	# ignores clipping
SN	total last fragment length:	18006185700	# ignores clipping
SN	bases mapped:	35998514700	# ignores clipping
SN	bases mapped (cigar):	35805803705	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	215056848	# from NM fields
SN	error rate:	6.006201e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	36.0
SN	insert size average:	185.6
SN	insert size standard deviation:	41.0
SN	inward oriented pairs:	113064699
SN	outward oriented pairs:	4734034
SN	pairs with other orientation:	69437
SN	pairs on different chromosomes:	2115653
SN	percentage of properly paired reads (%):	97.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	23	24	438	19456	42152	28943	38122	41705	39230	44056	48112	58699	55066	73404	80825	83636	108421	110604	140288	169458	166986	209319	289846	316157	390834	475037	623658	773444	1009751	1420089	1898934	2367808	2900352	3634706	5024071	6910642	12585417	27482076	50379449	0	0	0
FFQ	2	52	36	128	16612	41719	30439	38746	42550	40195	46028	50017	60099	57348	76655	84954	86524	113513	114868	146344	177190	173320	216599	298548	324066	405575	487678	639436	802527	1050591	1505764	2009056	2536584	3095615	3878843	5399372	7273891	12706679	26095940	49917136	0	1	0
FFQ	3	7	14	96	16893	42956	32413	40358	44254	41933	47644	51930	61233	59720	78412	85755	90747	114989	119806	148928	178443	176669	220324	299442	325158	402064	483128	627245	773068	1003291	1418306	1871589	2375866	2895890	3651094	5059995	6890383	12240457	25953575	52117163	0	0	0
FFQ	4	45	19	121	18982	47454	34624	43843	47312	44823	51119	55444	66277	62891	82993	90675	95689	121254	125156	155924	187576	185347	230665	314213	341384	419610	501972	653256	799587	1033631	1452774	1909913	2417183	2935577	3708192	5125342	6963690	12284843	25750297	51681539	2	0	0
FFQ	5	42	23	141	19991	49012	35041	45812	49362	46195	53368	57466	69364	65301	86864	95641	98599	127224	130004	163112	196623	195082	242107	329674	357636	441818	528961	686748	845730	1093732	1547071	2029480	2566761	3116324	3914401	5405006	7278755	12727461	26098935	49246371	0	0	0
FFQ	6	139554	10	60	17255	44264	32934	41627	45775	43587	50525	54513	65787	62664	83879	92140	95908	123911	127689	159661	192925	191494	238406	325475	354730	438131	526025	683620	841983	1091916	1544913	2033038	2578785	3132741	3944162	5448843	7335647	12804594	26275065	48777002	0	0	0
FFQ	7	8	13	71	17887	45251	33915	42859	47163	44512	51749	55639	67940	64249	86162	95216	99130	128167	130861	165308	198673	196009	243772	334032	363716	449574	537430	700389	860301	1114138	1574598	2068380	2617502	3177248	3997453	5510640	7405234	12887102	26284180	48344767	0	0	0
FFQ	8	2	5	49	17122	43191	32455	41500	45255	42977	49730	54080	65798	62860	83935	92827	97310	124642	128996	161505	195722	193348	242033	331845	361413	447729	537286	700675	864037	1121521	1591441	2099277	2657084	3228962	4050459	5581997	7498385	13061673	26539914	47592198	0	0	0
FFQ	9	21	16	86	18133	44940	32816	42967	46618	44253	51036	55302	67207	63991	86271	94963	98421	127661	130453	163343	198961	196676	245361	336923	366691	454722	543685	711756	876037	1138235	1614418	2124102	2687243	3262591	4090585	5632974	7545326	13088525	26567716	47190213	0	0	0
FFQ	10	26	28	85	17976	44862	32759	42492	46433	44446	51694	55927	68352	64986	87537	96682	101151	130356	134419	168818	204906	202772	252822	349323	377340	468065	561560	735052	906717	1180269	1674199	2203937	2778810	3368274	4211331	5778491	7723930	13345891	26749975	45778544	0	1	0
